Id;Name;Name Short;Nick Name;Abbreviation;Nation;Division;Last Division;Reserve Division;Reputation;Year Founded;Cash;Player Budget;Attendance;Min Attendance;Max Attendance;Stadium;Practice Facilities;Foreground Colour 1;Background Colour 1;Trim Colour 1;Foreground Colour 2;Background Colour 2;Trim Colour 2;Foreground Colour 3;Background Colour 3;Trim Colour 3;Favourite Staff 1;Favourite Staff 2;Favourite Staff 3;Disliked Staff 1;Disliked Staff 2;Disliked Staff 3;Rival 1;Rival 2;Rival 3;
0;Springfield Falcons;Springfield;---;SPR;United States;AHL;AHL;AHL Northeast Division;5044;1994;0;410769;6201;2500;6959;Mass Mutual Center;Mass Mutual Center;Red 2;NHL? Navy;White;NHL? Navy;White;Red 2;Black;White;White;Berthier Pisiak;Wren Mills;Tony Marshall;---;---;---;Hartford Wolf Pack;---;---;
1;Wilkes-Barre/Scranton Penguins;Wilkes-Barre/Scranton;---;WBS;United States;AHL;AHL;AHL East Division;5563;1999;0;240064;7677;2500;8143;Mohegan Sun Arena at Casey Plaza;Mohegan Sun Arena at Casey Plaza;White;NHL? Black;NHL? Yellow 2;NHL? Black;White;NHL? Yellow 2;Blue 5;White;Black;---;Sunny Lachapelle;---;---;---;---;Binghamton Senators;Hershey Bears;---;
2;Cleveland Barons;Cleveland;---;CLV;---;---;AHL;---;1;0;0;0;250;75;5233;Quicken Loans Arena;Quicken Loans Arena;NHL? Silver Flat;NHL? Teal;NHL? Black;NHL? Teal;White;NHL? Black;Black;White;White;---;---;---;---;---;---;---;---;---;
3;Worcester IceCats;Worcester;---;WOR;---;---;AHL;---;5000;0;0;0;6250;2500;13350;DCU Center;DCU Center;White;NHL? Blue 1;NHL? Blue 5;NHL? Blue 2;White;NHL? Blue 5;Black;White;White;---;---;---;---;---;---;---;---;---;
4;St. John's Maple Leafs;St. John's;---;SJN;---;---;AHL;---;4500;0;0;0;5062;2025;10386;Mile One Stadium;Mile One Stadium;White;NHL? Bolts Blue;NHL? Bolts Blue;NHL? Bolts Blue;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
5;Kansas City Blades;Kansas City;---;KAN;---;---;AHL;---;1;0;0;0;250;75;5510;---;---;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
6;Portland Pirates;Portland;---;POR;United States;AHL;AHL;AHL Atlantic Division;7484;1993;0;246646;7013;2500;7013;Cross Insurance Arena;Cross Insurance Arena;NHL? Red;NHL? Black;Grey 2;NHL? Black;White;NHL? Red;Black;White;White;Ravil Skorokhodov;Brandan Callahan;---;---;---;---;Providence Bruins;Manchester Monarchs;---;
7;CSKA Moscow;CSKA;CSKA;CSKA;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Tarasov Division;6307;1946;22000000;15392903;10800;2200;10800;CSKA;CSKA;NHL? Blue 2;Red 1;White;NHL? Blue 2;White;Red 1;Black;White;White;Kirill Smirnov;---;---;---;---;---;Dynamo Moscow;Spartak Moscow;---;
8;Dynamo Moscow;Dynamo;---;DYN;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Tarasov Division;7547;1946;30000000;15884657;10800;1800;10800;Malaya Arena Luzhniki;Malaya Arena Luzhniki;Blue 2;Blue 2;White;White;White;Blue 2;Black;White;White;Mikulás Cerný;---;Chaseton Bédard;---;---;---;CSKA Moscow;Spartak Moscow;---;
9;Lokomotiv Yaroslavl;Lokomotiv;---;LOKO;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Tarasov Division;7319;1959;38000000;15300000;10800;7700;10800;Arena 2000;Arena 2000;Red 1;White;NHL? Bolts Blue;White;Red 1;NHL? Bolts Blue;Black;White;White;Alexei Melenchuk;Filipp Myshkin;Ravil Solovyov;---;---;---;Torpedo Nizhny Novgorod;---;---;
10;Lada Togliatti;Lada;---;LADA;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Kharlamov Division;5250;1976;3000000;15300000;10800;2200;11160;Lada Arena;Lada Arena;NHL? Rangers Blue;White;NHL? Red 3;White;NHL? Rangers Blue;NHL? Red 3;Black;White;White;Andrei Zvyagin;Alexander Kolesnik;---;---;---;---;---;---;---;
11;Avangard Omsk;Avangard;---;AVA;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Chernyshev Division;6393;1950;45000000;15300000;10800;3000;10800;Arena Omsk;Arena Omsk;Black;White;Red 1;White;Black;Red 1;Black;White;White;---;---;---;---;---;---;Dynamo Moscow;Metallurg Magnitogorsk;Vityaz Podolsk;
12;Metallurg Magnitogorsk;Metallurg Mg;Magnitka;MMG;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Kharlamov Division;6419;1955;38000000;15300000;10800;3000;10800;Arena Metallurg;Arena Metallurg;White;NHL? Navy;NHL? Red 2;NHL? Navy;White;NHL? Red 2;Black;White;White;Valery Sidorenko;---;Efim Semyonov;---;---;---;Chelmet Chelyabinsk;Avangard Omsk;Traktor Chelyabinsk;
13;Spartak Moscow;Spartak;---;SPA;Russia;Vysshaya Liga;Kontinental Hockey League;Division Zapad;6050;1946;22000000;9967420;3435;1000;5530;Sokolniki;Sokolniki;Red 2;Red 2;White;White;White;Red 2;Black;White;White;Artyom Fyodorov;---;---;---;---;---;Dynamo Moscow;CSKA Moscow;---;
14;SKA Saint-Petersburg;SKA;---;SKA;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Bobrov Division;6300;1946;75000000;15300000;11628;3300;12350;Ledovy Dvorets;Ledovy Dvorets;NHL? Bolts Blue;White;NHL? Red 3;White;NHL? Bolts Blue;NHL? Red 3;Black;White;White;Ilya Kovalchuk;Efim Zakharov;---;---;---;---;Spartak Moscow;Dynamo Moscow;Lokomotiv Yaroslavl;
15;Neftekhimik Nizhnekamsk;Neftekhimik;---;NEF;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Kharlamov Division;6300;1968;25000000;15300000;10800;3000;10800;Neftekhimik;Neftekhimik;White;Blue 4;NHL? Navy;Blue 4;White;NHL? Navy;Black;White;White;---;Vladimir Li;---;---;---;---;Ak Bars Kazan;Salavat Yulaev Ufa;Avangard Omsk;
16;Torpedo Nizhny Novgorod;Torpedo;---;TOR;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Tarasov Division;8744;1946;22000000;16000000;9979;4830;10800;Profsoyuzov;Profsoyuzov;White;NHL? Blue 2;Red 1;NHL? Blue 2;White;Red 1;Black;White;White;Dmitry Ivanov;André Högberg;---;---;---;---;Lokomotiv Yaroslavl;---;---;
17;Salavat Yulaev Ufa;Salavat Yulaev;---;SYL;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Chernyshev Division;8614;1961;63000000;16721456;11520;3000;11520;Ufa Arena;Ufa Arena;NHL? Green 2;White;NHL? Nucks Blue;White;NHL? Green 2;NHL? Nucks Blue;Black;White;White;---;---;---;---;---;---;---;---;---;
18;Chelmet Chelyabinsk;Chelmet;---;MECH;Russia;Vysshaya Liga;Vysshaya Liga;Division Vostok;3500;1948;0;1860000;1800;1225;6401;LDS Mechel;LDS Mechel;Red 1;White;Black;White;Black;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
19;Amur Khabarovsk;Amur;Tigers;AMU;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Chernyshev Division;6501;1966;18000000;15300000;10800;6800;10800;Platinum Arena;Platinum Arena;NHL? St. Louis Blue;White;Yellow 1;NHL? St. Louis Blue;NHL? St. Louis Blue;White;Black;White;White;---;---;Andrei Lyubimov;---;---;---;---;---;---;
20;Metallurg Novokuznetsk;Metallurg Nk;---;MNK;Russia;Kontinental Hockey League;Vysshaya Liga;KHL Chernyshev Division;6752;1949;16000000;16072356;9983;6000;10800;Kuznetslikh Sport Palace;Kuznetslikh Sport Palace;White;Red 1;Black;Black;White;Red 1;Black;White;White;Ruben Pimankin;Pavel Skorokhodov;Artyom Orlov;---;---;---;Sibir Novosibirsk;Avangard Omsk;---;
21;Ak Bars Kazan;Ak Bars;---;AKB;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Kharlamov Division;8911;1956;50000000;15300000;9134;3200;9134;Tatneft Arena;Tatneft Arena;Green Ducks;White;Red 1;White;Green Ducks;Red 1;Black;White;White;Isaak Karetin;Vyacheslav Solodukhin;Fyodor Malykhin;---;---;---;Avangard Omsk;---;---;
22;Severstal Cherepovets;Severstal;SEV;SEV;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Tarasov Division;6601;1956;10000000;15300000;10800;3000;10800;Arena Cherepovets;Arena Cherepovets;Black;White;NHL? Logo Orange;Yellow 1;NHL? Black;NHL? Logo Orange;Black;White;White;Benjamin Roussel;Sergei Gorokhov;Alexei Lakiza;---;---;---;SKA Saint-Petersburg;---;---;
23;Vityaz Podolsk;Vityaz;---;VIT;Russia;Kontinental Hockey League;Kontinental Hockey League;KHL Tarasov Division;5500;1997;15000000;15300000;10800;1000;10800;Vityaz Ice Sports Palace;Vityaz Ice Sports Palace;NHL? Red 3;White;White;White;NHL? Red 3;NHL? Red 3;Black;White;White;---;---;---;---;---;---;Avangard Omsk;---;---;
24;Molot-Prikamie Perm;Molot-Prikamie;---;MOL;Russia;Vysshaya Liga;Division Vostok;Division Vostok;6050;1953;0;5432456;2800;2500;12701;Sports Palace Molot-Prikamie;Sports Palace Molot-Prikamie;NHL? Orange 2;White;Black;NHL? Orange 2;Black;White;Black;White;White;Yury Zhmakin;---;---;---;---;---;---;---;---;
25;Turun Palloseura;TPS;---;TPS;Finland;Liiga;Liiga;Liiga;6315;1922;1370000;6402882;11297;4500;11820;HK Areena;HK Areena;White;NHL? Black;Black;Black;White;NHL? Cool Gray;Black;White;White;---;---;---;---;---;---;Helsingin Jokerit;TUTO Hockey;---;
26;Helsingin IFK;HIFK;---;HIFK;Finland;Liiga;Liiga;Liiga;4553;1897;2300000;3497318;9500;3850;9500;Helsingin jäähalli;Helsingin jäähalli;NHL? Navy;NHL? Red;White;NHL? Navy;White;NHL? Red;Black;White;White;Marek Viedenský;Juhamatti Pulkkinen;Tony Vacker;---;---;---;Helsingin Jokerit;Espoon Blues;---;
27;Helsingin Jokerit;Jokerit;---;JOK;Finland;Kontinental Hockey League;Liiga;KHL Bobrov Division;8891;1967;-3200000;15300000;14425;5000;14586;Hartwall Areena;Hartwall Areena;NHL? Red;Blue 2;NHL? Yellow 3;NHL? Red;White;NHL? Yellow 3;Black;White;White;---;---;---;---;---;---;Helsingin IFK;Espoon Blues;Turun Palloseura;
28;Tampereen Ilves;Ilves;---;ILV;Finland;Liiga;Liiga;Liiga;5191;1931;-1580000;2219306;7460;3550;8120;Hakametsän jäähalli;Hakametsän jäähalli;Black;Green 2;NHL? Yellow;Green 2;White;NHL? Yellow;Black;White;White;Jami Nättinen;Anssi-Pekka Kivimäki;---;---;---;---;Tampereen Tappara;Hämeenlinnan Pallokerho;---;
29;Tampereen Tappara;Tappara;---;TAP;Finland;Liiga;Liiga;Liiga;4550;1955;-760000;3013991;7012;3500;7600;Hakametsän jäähalli;Hakametsän jäähalli;NHL? Orange 2;NHL? Blue 2;White;NHL? Orange 2;White;NHL? Blue 2;Black;White;White;Olli Palola;---;---;---;---;---;Tampereen Ilves;Hämeenlinnan Pallokerho;---;
